,sentence
35470," Here he waited ten days, and still the Latter Ruler held no court."
35471, He began to suspect mischief.
35472,"  One day near the palace gate he met Secretary General Xi Zheng, and asked,	Do you know the reason for my recall?"
35473,    What General!
35474, Do you not know?
35475," Huang Hao wanted to push Yan Yu into favor, so he intrigued for your recall."
35476," Now they have found out Deng Ai is too clever to be tackled, and so they are not fighting any more."
35477,"  I shall certainly have to put this eunuch fellow out of the way,	said Jiang Wei."
35478,    Hush!
35479," You are the successor of the Martial Lord, Zhuge Liang, the man to whom he bequeathed his unfinished task."
35480, You are too important to act hastily or indiscreetly.
35481," If the Emperor withdrew his support, it would go ill with you."
35482,"  Sir, what you say is true,	replied Jiang Wei."
35483,"  However, soon after this Jiang Wei, with a small party, got into the Palace."
35484, The Latter Ruler was enjoying himself with Huang Hao in the gardens.
35485," They told Huang Hao, who at once hid himself."
35486,"  Jiang Wei approached his master and prostrated himself, saying,	Why did Your Majesty recall me?"
35487, I had the enemy in my power at Qishan when the triple edict came.
35488,"  The Latter Ruler hummed and hawed, but made no reply."
35489, Then Jiang Wei began his real grievance.
35490,    This Huang Hao is wicked and artful and seems to have the last say in everything.
35491, The times of the Emperor Ling and the Ten Regular Attendants have returned.
35492," Your Majesty may recall Zhang Rang recently or Zhao Gao in the old time; but if you will only slay this man, the court will be purified and you may return gloriously to the home of your fathers."
35493,"  The Latter Ruler smiled, saying,	Huang Hao is but a minor servant, one who runs errands for me."
35494," If he tried to do as you say, he could not."
35495, I always wondered why Dong Yun seemed to hate poor Huang Hao so much.
35496, Now you are the same.
35497," I pray you, noble Sir, take no notice of him."
35498,"    Unless Your Majesty gets rid of him, evil is very close,	said Jiang Wei, beating his head upon the ground."
35499,"  The Latter Ruler replied,	If you love anyone, you want him to live; if you dislike him, you desire his death; can you not bear with my one poor eunuch?"
35500,  The Latter Ruler bade one of the attendants go and call Huang Hao.
35501," When Huang Hao approached the pavilion, the Latter Ruler told him to ask pardon of Jiang Wei."
35502,"  Huang Hao prostrated himself and wept, saying,	I am always in attendance upon the Sacred One; that is all I do."
35503, I never meddle in state affairs.
35504," I pray you, General, pay no heed to what people say."
35505," If you desire my death, I am in your hands, but pity me."
35506,  And tears ran down his cheeks.
35507, Jiang Wei went away in ill humor.
35508, Outside he sought his friend Xi Zheng and told him what had happened.
35509,"  General, you are in grave danger,	said Xi Zheng."
35510,"	And if you fall, the country falls with you."
35511, Can you advise me?
35512,	said Jiang Wei.
35513,	How can I secure the state and myself?
35514,"  Xi Zheng replied,	There is a place of refuge for you in Longxi, and that is Tazhong."
35515," It is a rich country, and you can make a cantonment there like the Martial Lord did."
35516, Request the Emperor to let you go thither.
35517," You can gather in corn and wheat for your armies, you can secure all the west of Longyou, you can keep Wei from troubling Hanzhong, you will retain your military authority, so that no one will dare intrigue against you, and you will be safe."
35518, Thus you can ensure the safety of the state and yourself.
35519, You should lose no time.
35520,"  Your speech is gold and jewels,	said Jiang Wei, gratefully."
35521,"  Without loss of time, Jiang Wei memorialized the Throne and obtained the Latter Ruler's consent."
35522," Then he returned to Hanzhong, assembled his officers, and told them his plans."
35523,    Our many expeditions have failed to achieve success owing to lack of supplies.
35524, Now I am about to take eighty thousand troops to Tazhong to form a cantonment and grow wheat and corn ready for the next expedition.
35525, You are spent with much fighting and may now repose while collecting grain and guarding Hanzhong.
35526, The armies of Wei are from home and have to drag their grain over the mountains.
35527, They will be worn out with the labor and must soon retire.
35528," That will he the time to smite them, and success must be ours."
35529,"  Hu Ji was set over Hanshou, Wang Han over Yuecheng, Jiang Bin over Hancheng, and Jiang Shu and Fu Qian went to guard the passes."
35530," After these arrangements had been made, Jiang Wei went off to Tazhong to grow grain and mature his plans."
35531,"  Deng Ai heard of these dispositions and discovered that the armies of Shu were distributed in forty−eight camps, each connected with the next like the joints of a huge serpent."
35532," He sent out his spies to survey the country, and they made a map which was sent to the capital."
35533,"  But when the Duke of Jin, Sima Zhao, saw the memorial and the map, he was very angry."
35534,"    This Jiang Wei has invaded our country many times, and we have been unable to destroy him."
35535, He is the one sorrow of my heart.
35536,"  Said Jia Chong,	He has carried on the work of Zhuge Liang only too thoroughly, and it is hard to force him back."
35537," What you need is some crafty brave to assassinate him, so remove this constant menace of war."
35538,"  But Adviser Xun Xu said,	That is not the way."
35539," Liu Shan, the Ruler of Shu, is steeped in dissipation and has given all his confidence to one favorite, the eunuch Huang Hao."
35540," The higher officers of state are concerned solely with their own safety, and Jiang Wei has gone to Tazhong only that he may save his life."
35541," If you send an able leader and a strong army, victory is certain."
35542, Where is the need for an assassin's dagger?
35543,"  These are excellent words,	said Sima Zhao, with a laugh,	but if I would attack Shu, where is the leader?"
35544,"    Deng Ai is the ablest leader of the day,	said Xun Xu."
35545,"	Give him Zhong Hui as his second, and the thing is done."
35546,"  Exactly what I think,	said Sima Zhao."
35547,"  So he summoned Zhong Hui and said to him,	I desire to send you as leader against Wu; can you go?"
35548," My lord's design is not against Wu, but Shu,		was his reply."
35549,   How well you know my inmost thought!
35550,	said Sima Zhao.
35551,	But how would you conduct an expedition against Shu?
35552,"    Thinking that my lord would desire to attack Shu, I have already prepared plans."
35553, Here they are.
35554," He laid out his maps, and thereon were shown the camps, and storehouses, and roads all complete."
35555, Sima Zhao was highly pleased.
35556," You are an excellent leader,	said he."
35557,	What say you to going with Deng Ai?
35558,"    The Lands of Rivers is large, and there is space for more than one set of operations."
35559, Deng Ai can be sent along another line.
35560,"  Zhong Hui was given the title of General Who Conquers the West and the insignia of a Commander−in−Chief over the forces within the pass and control of the armies of Qingzhou, Xuzhou, Yanzhou, Yuzhou, Jingzhou, and Yangzhou."
35561," At the same time a commission with authority flag was sent to Deng Ai giving him command of the forces without the pass, with the title of General Who Conquers the West."
35562, And the time for an attack on Shu was settled.
35563,"  When Sima Zhao was settling the plans in the court, General Deng Dun said,	Why are you sending our armies into a distant and dangerous country and thus inviting trouble?"
35564," Jiang Wei has invaded this country  many times, and the wars have cost us many lives."
35565, We should rather seek safety in defense.
35566,  I am sending a righteous army against an unrighteous ruler; how dare you oppose my designs?
35567,"  Sima Zhao ordered the executioners to put Deng Dun to death forthwith, and they soon returned to lay his head at the foot of the steps."
35568," This frightened all those present, and they turned pale."
35569,"  Sima Zhao said,	It is six years since I conquered the east, and the six years have been spent in preparation."
35570, I have long intended to reduce both Wu and Shu.
35571," Now I will destroy Shu, and then like a flood I will descend upon Wu and conquer that."
35572, That is the method 'destroy Guo to capture Yu.'
35573, ((Guo and Yu are two ancient states)).
35574, I can tell very nearly what forces they have in Shu.
35575," There are eighty or ninety thousand troops in the garrison of Capital Chengdu, forty or fifty thousand on the frontier, while Jiang Wei has about sixty thousand in his cantonments."
35576," Against them we can pit one hundred thousand troops under Deng Ai, enough to hold Jiang Wei and keep him from moving east, and Zhong Hui has two or three hundred thousand veterans."
35577, And they will go in three divisions straight into Hanzhong.
35578," Liu Shan, the Ruler of Shu, is a blind fool with his frontier cities in ruins, his courtiers and women quaking with fear."
35579, He will not last long.
35580,  The assembly praised this perspicacity.
35581,  Zhong Hui marched as soon as he received his seal of office.
35582," Lest his real object should be known, he gave out that his force was directed against Wu; and to give color to the pretense, he had many large ships built in Qingzhou, Yanzhou, Yuzhou, Jingzhou, and Yangzhou."
35583, He also sent Tang Zi along the coastal regions of Dengzhou and Laizhou to collect vessels.
35584,"  Even his chief, Sima Zhao, was deceived and called him to ask why he was collecting ships."
35585,"  Zhong Hui replied,	If Shu hears that we intend to attack the west, they will ask assistance from Wu."
35586," So I pretend to attack Wu, and Wu will not dare to move under a year."
35587," When Shu is beaten, the ships will be ready and useful for an expedition into the East."
35588,  Sima Zhao was pleased.
35589," The day chosen for the march was the third day of the seventh mouth in the fourth year of Wonderful Beginning, in Wei calendar (AD 264)."
35590, Sima Zhao escorted his leader out of the city for three miles and then took his leave.
35591,"  Shao Ti, Minister of the Western Affairs, whispered a word of warning."
35592,    My lord has sent Zhong Hui with a large army against Shu.
35593, I think he is too ambitious to be trusted with such powers?
35594,  Think you I do not know?
35595,	said Sima Zhao.
35596,    Then why have you sent him alone and without a colleague?
35597, Sima Zhao said a few words to Shao Ti which put his doubts at rest.
35598," Zhong Hui went alone, although his master knew, Occasion serving, he would be untrue."
35599,  The next chapter will tell the reader what Shao Ti heard.
35600,    CHAPTER 116.
35601," On Hanzhong Roads, Zhong Hui Divides The Army; In Dingjun Mountain, The Martial Lord Shows His Apparition."
35602, The words whispered in the ear of Shao Ti proved Sima Zhao's subtlety.
35603," Said he,	This morning the officers all maintained that Shu should not be attacked, because they are timid."
35604," If I let them lead the army, they would surely be defeated."
35605," You saw Zhong Hui was set upon his plan, and he is not afraid."
35606," Shu must therefore be beaten, and then the Shu people's hearts will be torn."
35607," Beaten leaders cannot boast, and the officers of a broken state are no fit guardians of its welfare."
35608," When Zhong Hui turns against us, the people of Shu cannot support him; and our troops being victors, they will wish to return home and will not follow their leader into revolt."
35609, Hence there is nothing to be feared.
35610," I know this, as you do, but it must remain our secret."
35611, Shao Ti understood.
35612," In his camp, just prior to his march, Zhong Hui assembled his officers, among them were Military Inspector Wei Guan, Marching General Hu Lie, Generals Tian Xu, Tian Zhang, Yuan Xing, Qiu Jian, Xiahou Xian, Wang Mai, Huangfu Kai, Gou An, and others, some eighty of them."
35613,"    Firstly I want a Leader of the Van,	said Zhong Hui."
35614,	He must be skilled in making roads and repairing bridges.
35615,"  I will take that post,	said a voice, and the speaker was Xu Yi, son of the Tiger Leader Xu Chu."
35616, Nobody is fitter!
35617,	cried all present.
35618,"   You shall have the seal,	said Zhong Hui."
35619,	You are lithe and strong and have the renown of your father to maintain.
35620," Beside, all your colleagues recommend you."
35621, Your force shall be five thousand of cavalry and a thousand of footmen.
35622," You are to march into Hanzhong in three divisions, the center you will lead through the  Xie Valley, the other two passing through the Luo and Ziwu Valleys."
35623," You must level and repair the roads, put the bridges in order, bore tunnels and break away rocks."
35624," Use all diligence, for any delay will entail punishment."
35625,"  Xu Yi was told to set out immediately, and his chief would follow with one hundred thousand troops."
35626,"  In Longxi, as soon as Deng Ai received his orders to attack Shu, he sent Sima Wang to keep the Qiangs in check."
35627," Next he summoned Zhuge Xu, Imperial Protector of Yongzhou, Wang Qi, Governor of Tianshui, Qian Hong, Governor of Longxi, and Yang Xin, Governor of Jincheng, and soon soldiers gathered in Longxi like clouds."
35628,  One night Deng Ai dreamed a dream wherein he was climbing a lofty mountain on the way into Hanzhong.
35629, Suddenly a spring of water gushed out at his feet and boiled up with great force so that he was alarmed.
35630,"  He awoke all in a sweat and did not sleep again, but sat awaiting the dawn."
35631," At daybreak he summoned his guard Shao Yuan, who was skilled in the Book of Changes, told him the dream and asked the interpretation."
35632,"  Shao Yuan replied,	According to the book, 'water on a mountain' signifies the diagram Jian, whereunder we find that the southwest augurs well, but the northeast is unpropitious."
35633," Confucius said of Jian that it meant advantage in the southwest, i."
35634,e.
35635,", success, but the northeast spelt failure, i."
35636,e.
35637,", there was no road."
35638," In this expedition, General, you will overcome Shu, but you will not have a road to return."
35639,"  Deng Ai listened, growing more and more sad as the interpretation of his dream was unfolded."
35640, Just then came dispatches from Zhong Hui asking him to advance into Hanzhong together.
35641, Deng Ai at once sent Zhuge Xu with fifteen thousand troops to cut off Jiang Wei's retreat; and Wang Qi was to lead fifteen thousand troops to attack Tazhong from the left; Qian Hong was to march fifteen thousand troops to attack Tazhong from the right; and Yang Xin with fifteen thousand troops was to block Jiang Wei at Gansong.
35642, Deng Ai took command of a force to go to and fro and reinforce whatever body needed help.
35643,"  Meanwhile in the camp of Zhong Hui, all the officials came out to see him depart."
35644," It was a grand sight, the gay banners shutting out the sun, breastplates and helmets glittering."
35645, The soldiers were fit and the horses in good condition.
35646, They all felicitated the leader.
35647,  All save one; for Liu Shi was silent.
35648, He smiled grimly.
35649,"  Then Commander Wang Xiang made his way through the crowd and said,	Do you think these two Zhong Hui and Deng Ai will overcome Shu?"
35650,"  Said Liu Shi,	They will overcome Shu certainly, only I think neither will ever come back."
35651, Why do you say that?
35652, But Liu Shi did not reply; he only smiled.
35653, And the question was not repeated.
35654,  The armies of Wei were on the march when Jiang Wei heard of the intended attack.
35655, He at once sent up a memorial asking that certain defensive arrangements be made.
35656," Zhang Yi, Left Commander of the Flying Cavalry, was to guard the Yangping Pass, and Liao Hua, Right Commander of the Flying Cavalry, was to command at the Yinping Bridge in Yinping, which were the two most important points upon which depended the security of Hanzhong."
35657," He also sent to engage the help of Wu, and gathered soldiers in Tazhong ready for the march."
35658,"  That year in Shu the reign−style had been changed from Wonderful Sight, the fifth year, to Joyful Prosperity, the first year (AD 264)."
35659," When the memorial of Jiang Wei came to the Latter Ruler, it found him as usual amusing himself with his favorite Huang Hao."
35660,"  He read the document and said to the eunuch,	Here Jiang Wei says that the Wei armies under Deng Ai and Zhong Hui are on the way against us."
35661, What shall we do?
35662,    There is nothing of the sort.
35663," Jiang Wei only wants to get a name for himself, and so he says this."
35664," Your Majesty need feel no alarm, for we can find out the truth from a certain wise woman I know."
35665, She is a real prophetess.
35666, May I call her?
35667,"  The Latter Ruler consented, and a room was fitted up for the seance."
35668," They prepared therein incense, flowers, paper, candles, sacrificial articles and so on, and then Huang Hao went with a chariot to beg the wise woman to attend upon the Latter Ruler."
35669,  She came and was seated on the Dragon Couch.
35670," After the Latter Ruler had kindled the incense and repeated the prayer, the wise woman suddenly let down her hair, dropped her slippers, and capered about  barefoot."
35671," After several rounds of this, she coiled herself up on a table."
35672,"  Huang Hao then said,	The spirit has now descended."
35673, Send everyone away and pray to her.
35674," So the attendants were dismissed, and the Latter Ruler entreated the wise woman."
35675," Suddenly she cried out, I am the guardian spirit of the Western Land of Rivers."
35676," Your Majesty, rejoices in tranquillity; why do you inquire about other matters?"
35677," Within a few years the land of Wei shall come under you, wherefore you need not be sorrowful."
35678,"  She then fell to the ground as in a swoon, and it was some time before she revived."
35679, The Latter Ruler was well satisfied with her prophesy and gave her large presents.
35680," Further, he thereafter believed all she told him."
35681," The immediate result was that Jiang Wei's memorial remained unanswered; and as the Latter Ruler was wholly given to pleasure, it was easy for Huang Hao to intercept all urgent memorials from the general."
35682,  Meanwhile Zhong Hui was hastening toward Hanzhong.
35683," The Van−Leader Xu Yi was anxious to perform some startling exploit, and so he led his force to Nanzheng."
35684,"  He said to his officers,	If we can take this pass, then we can march directly into Hanzhong; the defense is weak."
35685,"  A dash was made for the fort, each one vying with the rest to be first."
35686," But the commander of Nanzheng was Lu Xun, and he had had early information of the coming of his enemies."
35687, So on both sides of the bridge he posted soldiers armed with multiple bows and crossbows.
35688," As soon as the attacking force appeared, the signal was given by a clapper and a terrific discharge of arrows and bolts opened."
35689," Many troops of Wei fell, and the army of Xu Yi was defeated."
35690,  Xu Yi returned and reported his misfortune.
35691, Zhong Hui himself went with a hundred armored horsemen to see the conditions.
35692," Again the machine bows let fly clouds of missiles, and Zhong Hui turned to flee."
35693,"  But Lu Xun led out five hundred troops to pursue; and as Zhong Hui crossed the bridge at a gallop, the roadway gave, and his horse's hoof went through so that he was nearly thrown."
35694," The horse could not free its hoof, and Zhong Hui slipped from his back and fled on foot."
35695," As he ran down the slope of the bridge, Lu Xun  came at him with a spear, but one of Zhong Hui's followers, Xun Kai by name, shot an arrow at Lu Xun and brought him to the earth."
35696,"  Seeing this lucky hit, Zhong Hui turned back and signaled to his force to make an attack."
35697," They came on with a dash, the defenders were afraid to shoot, as their own troops were mingled with the enemy, and soon Zhong Hui crushed the defense and possessed the pass."
35698, The defenders scattered.
35699,"  The pass being captured, Xun Kai was well rewarded for the shot that had saved his general's life."
35700, He was promoted to the guards and received presents of a horse and a suit of armor.
35701,"  Xu Yi was called to the tent, and Zhong Hui blamed him for the lack of care in his task, saying,	You were appointed Leader of the Van to see that the roads were put in repair, and your special duty was to see that the bridges were in good condition."
35702," Yet on the bridge just now my horse's hoof was caught, and I nearly fell."
35703," Happily Xun Kai was by, or I had been slain."
35704, You have been disobedient and must bear the penalty.
35705,  The delinquent was sentenced to death.
35706," The other generals tried to beg him off, pleading,	His father is Xu Chu who had rendered good services to the state."
35707,  How can discipline be maintained if the laws are not enforced?
35708,	said Zhong Hui.
35709,"  The sentence was carried out, and the unhappy Xu Yi's head was exposed as a warning."
35710, This severity put fear into the hearts of the officers.
35711,"  On the side of Shu, Wang Han commanded at Yuecheng, and Jiang Bin was in Hancheng."
35712," As the enemy came in great force, they dared not go out to meet them, but stood on the defensive with the gates of the cities closed."
35713,"  Zhong Hui issued an order,	Speed is the soul of war; no halts."
35714,"  Li Fu was ordered to lay siege to Yuecheng, and Xun Kai was to surround Hancheng."
35715, The main army under Zhong Hui would capture the Yangping Pass.
35716,  The Shu General Fu Qian commanded at the pass.
35717," He discussed plans with Jiang Shu, his second in command, and Jiang Shu was wholly in favor of defense, saying,	The enemy is too strong to think of any other course."
35718,"    I do not agree,	replied Fu Qian."
35719,"	They are now fatigued with marching, and we need not fear them."
35720," Unless we go out and attack, the two cities will fall."
35721, Jiang Shu made no reply.
35722," Soon the enemy arrived, and both officers went up to the wall and looked out."
35723," As soon as Zhong Hui saw them, he shouted,	We have here a host of one hundred thousand."
35724," If you yield, you shall have higher rank than you hold now; but if you persist in holding out then, when we take the pass, you shall all perish."
35725, Jewels and pebbles will share the same destruction.
35726,  This threat angered Fu Qian.
35727," He bade Jiang Shu guard the walls, and he went down to give battle, taking three thousand troops."
35728," He attacked, and Zhong Hui retreated."
35729, Fu Qian pursued.
35730, But soon the army of Wei closed up their ranks and counterattacked.
35731," Fu Qian turned to retire; but when he reached his own defenses, he saw they flew the flags of Wei; the banners of Shu had gone."
35732,"  I have yielded,	cried Jiang Shu from the ramparts."
35733,"  Fu Qian shouted angrily,	Ungrateful and treacherous rogue!"
35734, How can you ever face the world again?
35735,  But that did no good.
35736, Fu Qian turned to go once more into the battle.
35737, He was soon surrounded.
35738," He fought desperately, but could not win clear."
35739," His troops fell one by one, and when they were reduced to one out of ten, he cried,	Alive I have been a servant of Shu; dead I will be one of their spirits!"
35740,  Fu Qian forced his way into the thickest of the fight.
35741," Then his steed fell, and as he was grievously wounded, he put an end to his own life."
35742,"  The loyalty Fu Qian showed in stressful days Won him a thousand autumns' noble praise; The base Jiang Shu lived on, a life disgraced, One would prefer the death that Fu Qian faced."
35743, With the Yangping Pass falling into the hands of Zhong Hui were great booty of grain and weapons.
35744," He feasted the army, and that night they rested in the city of Yangan."
35745," However, the night was disturbed by sounds as of people shouting, so that Zhong Hui got up and went out thinking there must be an attack."
35746," But the sounds  ceased, and he returned to his couch."
35747," However, he and his army could not sleep."
35748,"  Next night the same thing happened, shoutings in the southwest."
35749," As soon as day dawned scouts went out to search, but they came back to say they had gone three miles and found no sign of any Shu soldier."
35750," Zhong Hui did not feel satisfied, so he took a hundred cavalrymen and rode in the same direction to explore."
35751,"  Presently they happened upon a hill of sinister aspect overhung by angry clouds, while the summit was wreathed in mist."
35752,  What hill is that?
35753,"	asked Zhong Hui, pulling up to question the guides."
35754,"  It is known as the Dingjun Mountain,	was the reply."
35755,	It is where Xiahou Yuan met his death.
35756,"  This did not sound cheering at all, and Zhong Hui turned back to camp greatly depressed."
35757," Rounding the curve of a hill, he came full into a violent gust of wind and there suddenly appeared a large body of horse coming down the wind as if to attack."
35758,"  The whole party galloped off panic−stricken, Zhong Hui leading the way."
35759, Many generals fell from their steeds.
35760," Yet when they arrived at the pass, not a man was missing, although there were many with bruises and cuts from the falls and many had lost helmets."
35761," Everyone had seen phantom horsemen, who did no harm when they came near, but melted away in the wind."
35762,"  Zhong Hui called the surrendered general Jiang Shu and asked,	Is there any temple to any supernatural being on the Dingjun Mountain?"
35763,"  No,	replied he,	there is nothing but the tomb of Zhuge Liang."
35764,"  Then this must have been a manifestation of Zhuge Liang,	said Zhong Hui."
35765,	I ought to sacrifice to him.
35766,"  So he prepared presents and slew an ox and offered sacrifice at the tomb, and when the sacrifice had been completed, the wind calmed, and the dark clouds dispersed."
35767," There followed a cool breeze and a gentle shower, and the sky cleared."
35768," Pleased with the evidence of the acceptance of their offerings, the sacrificial party returned to camp."
35769,  That night Zhong Hui fell asleep in his tent with his head resting on a small table.
35770," Suddenly a cool breeze began to blow, and he saw a figure approaching clad in Taoist garb, turban, feather fan, white robe of Taoist cut bound with a black girdle."
35771," The countenance of the figure was as refined as jade, the lips a deep red and the eyes clear."
35772, The figure moved with the calm serenity of a god.
35773,"  Who are you, Sir?"
35774,"	asked Zhong Hui, rising."
35775,"    Out of gratitude for your kindly visit this morning, I would make a communication."
35776," Though the Hans have declined and the mandate of the Eternal cannot be disobeyed, yet the people of the west, exposed to the inevitable miseries of war, are to be pitied."
35777," After you have passed the frontier, do not slay ruthlessly."
35778,"  Then the figure disappeared with a flick of the sleeves of its robe, nor would it stay to answer any questions."
35779,"  Zhong Hui awoke and knew that he had been dreaming, but he felt that the spirit of Zhuge Liang the Martial Lord had visited him, and he was astonished."
35780,"  He issued an order that the leading division of his army should bear a white flag with four words plainly written thereon,	Secure state, comfort people , so that all might know that no violence was to be feared."
35781," If anyone was slain wantonly, then the offender should pay with his own life."
35782," This tender care was greatly appreciated, so that the invaders were welcomed in every step."
35783," Zhong Hui soothed the people, and they suffered no injury."
35784,"  Those phantom armies circling in the gleam  Moved Zhong Hui to sacrifice at Zhuge Liang's tomb; For Lius had Zhuge Liang wrought unto the end, Though dead, he would the Han people still defend."
35785," Jiang Wei at Tazhong heard of the invasion and wrote to his three generals Zhang Yi, Liao Hua, and Dong Jue to march against the enemy, while he prepared to repulse them if they came to his station."
35786,"  Soon they came, and he went out to encounter them."
35787," Their leader was Wang Qi, Governor of Tianshui."
35788,"  When near enough, Wang Qi shouted,	Our forces are numbered by millions, our generals by thousands."
35789," Two hundred thousand are marching against you, and Chengdu has already fallen."
35790," In spite of this you do not yield, wherefore it is evident you do not recognize the divine command."
35791,  Jiang Wei cut short this tirade by galloping out with his spear set.
35792, Wang Qi stood three bouts and then fled.
35793," Jiang Wei pursued, but seven miles away he met a cohort drawn up across the road."
35794," On the banner he read that the leader was Qian Hong, Governor of Longxi."
35795,  Dead rat!
35796," No match for me,	said Jiang Wei, smiling."
35797,"  Despising this antagonist, he led his army straight on, and the enemy fell back."
35798," He drove them before him for three more miles, and then came upon Deng Ai."
35799," A battle at once began, and the lust of battle held out in the breast of Jiang Wei for a score of bouts."
35800, But neither could overbear the other.
35801, Then in the Shu rear arose the clang of gongs and other signs of coming foes.
35802,"  Jiang Wei retired the way he had come, and presently one came to report:	The Governor of Jincheng, Yang Xin, has destroyed the camps at Gansong."
35803,  This was evil tidings.
35804, He bade his generals keep his own standard flying and hold Deng Ai while he went to try to recover the camps.
35805," On the way he met Yang Xin, but Yang Xin had no stomach for a fight with Jiang Wei and made for the hills."
35806, Jiang Wei followed till he came to a precipice down which the enemy were hurling boulders and logs of wood so that he could not pass.
35807,"  Jiang Wei turned to go back to the battle−field he had just left, but on the way he met the army of Wei, for Deng Ai had crushed his generals."
35808," Jiang Wei was surrounded, but presently got clear with a sudden rush and hastened to the great camp."
35809,"  Next came the news:	Zhong Hui has defeated the Yangping Pass; Jiang Shu has surrendered, while Fu Qian has fallen in the field."
35810, Hanzhong is now in the possession of Wei.
35811, Wang Han of Yuecheng and Jiang Bin of Hancheng has also opened their gates and yielded to the invaders at the loss of Hanzhong.
35812, Hu Ji has gone to Chengdu for help.
35813,"  This greatly troubled Jiang Wei, so he broke camp and set out for Hanzhong."
35814, That night the Shu army reached the Frontier River Pass.
35815," An army under Yang Xin barred his way, and again Jiang Wei was forced to fight."
35816," He rode out in a great rage, and as Yang Xin fled, he shot at him thrice, but his arrows missed."
35817,"  Throwing aside his bow, he gripped his spear and set off in pursuit, but his horse tripped and fell, and Jiang Wei lay on the ground."
35818," Yang Xin turned to slay his enemy now that he was on foot, but Jiang Wei thrust Yang Xin's horse in the head."
35819, Other Wei troops came up rescued Yang Xin.
35820,"  Mounting another steed of his follower, Jiang Wei was just setting out again in pursuit when they reported that Deng Ai was coming against his rear."
35821," Realizing that he could not cope with this new force, Jiang Wei collected his troops in order to retreat into Hanzhong."
35822,"  However, the scouts reported:	Zhuge Xu, Imperial Protector of Yongzhou, is holding Yinping Bridge, our retreat path."
35823,  So Jiang Wei halted and made a camp in the mountains.
35824," Advance and retreat seemed equally impossible, and he cried in anguish,	Heaven is destroying me!"
35825,"  Then said Ning Sui, one of his generals,	If our enemies are blocking Yinping Bridge, they can only have left a weak force in Yongzhou."
35826, We can make believe to be going thither through the Konghan Valley and so force them to abandon the bridge in order to protect the city.
35827," When the bridge is clear, you can make a dash for Saber Pass and plan for a recapture of Hanzhong."
35828,"  This plan seemed to promise success, so Jiang Wei ordered them to march into the Konghan Valley, making as though they would go to Yongzhou."
35829,"  When Zhuge Xu, who was at the Yinping Bridge, heard this, he said in great shock,	Yongzhou is my own city, and headquarters; if it would be lost, I would be punished."
35830,  So Zhuge Xu set off to its relief by the south road.
35831, He left only a small force at the bridge.
35832,"  Jiang Wei marched along the north road for ten miles till he guessed that Zhuge Xu had abandoned the bridge, when he reversed his course, making the rearguard the van."
35833, He dispersed the small force left at the bridge head and burned their camp.
35834," Zhuge Xu, as he marched, saw the flames, and he turned back to the bridge, but he arrived too late."
35835," The army of Shu had already crossed, and he dared not pursue."
35836,"  Soon after Jiang Wei crossed the bridge, he saw another force, but this was led by his own generals, Liao Hua and Zhang Yi."
35837,"  They told him,	Huang Hao, firm in his faith in the wise woman, would not send help to defend the frontiers."
35838," We heard Hanzhong was threatened, and thus marched there to its rescue, but then Zhong Hui had taken the Yangping Pass."
35839," We also heard you were surrounded here, so we came to your help."
35840,  The two armies amalgamated and marched together.
35841,"  Liao Hua said,	We are attacked all round, and the grain transportation is blocked."
35842, It seems to me wisest to retire on the Saber Pass and plan other designs.
35843,  But Jiang Wei was doubtful.
35844, Then they heard that Deng Ai and Zhong Hui were approaching in ten divisions.
35845," Jiang Wei was disposed to stand, but Liao Hua said,	This country of White Water is too narrow and difficult to fight in with any hope of success."
35846, It would better to retreat to the Saber Pass.
35847," If we loss that pass, all paths will be closed to us."
35848,"  At last Jiang Wei consented, and the march began."
35849," But as they neared the pass, they heard drums rolling and saw flags fluttering, which told them that the pass was held."
35850,"  Hanzhong, that strong defense, is lost."
35851,  And storm clouds gather round Saber Pass.
35852,  What force was at the pass will be told in the next chapter.
35853,    CHAPTER 117.
35854, Deng Ai Gets Through The Yinping Mountains; Zhuge Zhan Falls In The Battlefield Of Mianzhu.
35855," When Dong Jue, General Who Upholds the State, heard of the invasion of Wei in ten divisions, he brought to the frontier twenty thousand troops to Saber Pass."
35856," And when the dust showed an approaching army, Dong Jue thought it wise to go to the Pass lest the coming armies should be enemies to be stopped."
35857,"  But Dong Jue found that the newcomers were Jiang Wei, Liao Hua, and Zhang Yi; he let them pass through and gave them the news from the capital, bad news of the deeds of both the Latter Ruler and Huang Hao."
35858,"    But do not grieve;	said Jiang Wei,	so long as I live, I will not allow Wei to come and conquer Shu."
35859," They kept good guard at Saber Pass, while they discussed future plans."
35860,"    Though we are holding this pass, yet Chengdu is well−nigh empty of soldiers, said Dong Jue."
35861, If it was attacked it would go crack!
35862,"  Jiang Wei replied,	The natural defenses of Chengdu are excellent; it is hard to cross over the mountains and climb the steep roads."
35863, No one need fear.
35864,"  Soon after this, Zhuge Xu appeared at the pass challenging the defenders."
35865, Jiang Wei forthwith placed himself at the head of five thousand troops and went down to meet the Wei army.
35866," He gained an easy victory, slaying many of the enemy and taking much spoil in horses and weapons."
35867,"  While Jiang Wei went back to the pass, the defeated Zhuge Xu made his way to Zhong Hui's camp, seven miles away, to confess his failure."
35868, His general was very angry.
35869,"    My orders to you were to hold Yinping Bridge so as to stop Jiang Wei, and you lost it."
35870, Now without any orders you attack and are defeated.
